"conn","conn_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x6_185","MFG_L -- PSMG_L","-0.06383500521317403","0.017567238634893977",1.0,"1.0",0.0,"0.0",0.0,"0.0",-114.90935776405281
"x74_78","Hippo_L -- Put_L","-0.050304523798746545","0.013848475786427153",1.0,"1.0",0.0,"0.0",0.0,"0.0",-114.86958873127071
"x74_187","Hippo_L -- PSIG_L","-0.01725457803808831","0.004759164251934117",1.0,"1.0",0.0,"0.0",0.0,"0.0",-114.64989182355698
"x6_187","MFG_L -- PSIG_L","-0.021489216273121083","0.005936393674622291",1.0,"1.0",0.0,"0.0",0.0,"0.0",-114.47163426091565
"x60_185","rostral_ACC_L -- PSMG_L","-0.0006792164536536127","0.00018925098676971124",1.0,"1.0",0.0,"0.0",0.0,"0.0",-113.49325329654597
"x30_54","AG_L -- IOG_L","-0.1511021460997931","0.04210488172189105",1.0,"1.0",0.0,"0.0",0.0,"0.0",-113.48492656290824
"x56_70","Cu_L -- Ins_L","-0.0054064875130574","0.001510860268475679",1.0,"1.0",0.0,"0.0",0.0,"0.0",-113.15946973554247
"x74_82","Hippo_L -- Thal_L","-0.07918110453354484","0.022158292094298055",1.0,"1.0",0.0,"0.0",0.0,"0.0",-113.0017769006299
"x4_74","SFG_pole_L -- Hippo_L","-0.0004493492991310635","0.00012615883233247995",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.63319610549762
"x8_36","MFG_DPFC_L -- STG_L_pole","-0.008937731900889758","0.002514009325645285",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.42436388140035
"x28_36","SMG_L -- STG_L_pole","-0.004091301054080122","0.001154104334488734",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.10277561319744
"x28_70","SMG_L -- Ins_L","-0.012065565839438448","0.0034050433974121695",1.0,"1.0",0.0,"0.0",0.0,"0.0",-112.05340096500521
"x8_12","MFG_DPFC_L -- IFG_orbitalis_L","-0.11452511724865215","0.03235813892778187",1.0,"1.0",0.0,"0.0",0.0,"0.0",-111.92245036460845
"x32_70","PrCu_L -- Ins_L","-0.0025804497815140673","0.0007292586195420523",1.0,"1.0",0.0,"0.0",0.0,"0.0",-111.89581416799096
"x10_32","IFG_opercularis_L -- PrCu_L","-0.0026371896089878093","0.0007497020602591074",1.0,"1.0",0.0,"0.0",0.0,"0.0",-111.23786672332308
"x4_48","SFG_pole_L -- FuG_L","-0.0007176941814011811","0.0002047966325312767",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.81960912278089
"x10_52","IFG_opercularis_L -- MOG_L","-0.019541856464426088","0.005592577873196532",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.49783755688797
"x183_187","PSTG_L -- PSIG_L","-0.02796516878365516","0.008012204952466071",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.373647494092
"x4_30","SFG_pole_L -- AG_L","-0.00040039959201146693","0.00011477337099325193",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.31955182642844
"x14_183","IFG_triangularis_L -- PSTG_L","-0.06613272136143403","0.018996152472453055",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.09072898876197
"x30_78","AG_L -- Put_L","-0.023996484975969658","0.00690581089680482",1.0,"1.0",0.0,"0.0",0.0,"0.0",-109.88361757369405
