"edge","edge_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x6_48","MFG_L -- FuG_L","-0.008716436560345975","0.0028198375763455624",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.74957551554782
"x2_40","SFG_PFC_L -- MTG_L_pole","-0.003608628644406015","0.0011701146091101173",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.52451304515702
"x12_28","IFG_orbitalis_L -- SMG_L","-0.015623029172877475","0.005070549806924102",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.43392337865427
"x60_80","rostral_ACC_L -- GP_L","-0.00388579050020426","0.0012631159998562351",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.28281877744426
"x16_24","LFOG_L -- PrCG_L","-0.0008631869339715551","0.0002805969962117288",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.27961434725398
"x4_22","SFG_pole_L -- PoCG_L","-0.0004096727523058999","0.000133247456480695",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.22504480108663
"x58_70","LG_L -- Ins_L","-0.021203743199184933","0.006898324239766115",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.20059698586027
"x42_183","ITG_L -- PSTG_L","-0.020915656740091743","0.00681591415123699",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.03924167668492
"x6_34","MFG_L -- STG_L","-0.00563172323574125","0.0018402126409093394",1.0,"1.0",0.0,"0.0",0.0,"0.0",-96.77725378429852
"x26_183","SPG_L -- PSTG_L","-0.18029226166274853","0.059101637026137945",1.0,"1.0",0.0,"0.0",0.0,"0.0",-96.46673426409448
"x18_82","MFOG_L -- Thal_L","-0.0015415347493239302","0.0005079921987523619",1.0,"1.0",0.0,"0.0",0.0,"0.0",-95.96133389711159
"x30_66","AG_L -- dorsal_ACC_L","-0.018159969571615354","0.005989604899502298",1.0,"1.0",0.0,"0.0",0.0,"0.0",-95.87755294247975
