"predictor","real_mean","perm_mean","real_std","perm_std","real_vs_perm_right_p","real_vs_perm_both_p","real_vs_perm_left_p","real_vs_perm_t","real_vs_perm_right_padj","real_vs_perm_both_padj","real_vs_perm_left_padj"
"PCC_L_to_AG_L",-0.010493599041964856,0.0023739644945554848,0.03869564432813653,0.12741691834670354,0.9987865203083792,0.002426959383241721,0.0012134796916208606,-3.0400567703175128,"1.0","0.002847962541559163","0.0024626499624070403"
"Ins_L_to_AG_L",-0.00493885467015877,0.00024365315071931407,0.0015660422475242321,0.004961602438344166,1.0,2.1833756573918326e-154,1.0916878286959163e-154,-31.87602988380387,"1.0","1.1298969027002734e-152","7.061855641876708e-153"
"Amyg_L_to_AG_L",-0.010659659443713308,0.0006732715882616263,0.007400119786530249,0.02320162125523953,1.0,1.7956894956121897e-44,8.978447478060948e-45,-14.707938119319845,"1.0","5.531364964162549e-44","4.669695045122152e-44"
"Hippo_L_to_AG_L",0.0020987415232629537,0.00035306982829165696,0.0012534031013501346,0.004387726337047922,3.187218426054135e-32,6.37443685210827e-32,1.0,12.180718090809469,"1.8026071426043878e-31","1.459633217241606e-31","1.0"
"Caud_L_to_AG_L",-0.0008808032925692423,5.7405805253923665e-5,0.0003611796866664739,0.0013034213970925007,1.0,1.6106559617643923e-86,8.053279808821961e-87,-21.8035955153009,"1.0","1.377709851591856e-85","1.1418006304288672e-85"
"Put_L_to_AG_L",-0.010127286872852245,0.0009299499662540359,0.006963723489730408,0.030014408583623822,1.0,3.7028742735419293e-28,1.8514371367709647e-28,-11.347735230445046,"1.0","7.680310366965726e-28","6.387458121859828e-28"
"GP_L_to_AG_L",0.004591479537396924,0.00015571391578199253,0.003633095292166258,0.011822722505406329,2.185152523994315e-28,4.37030504798863e-28,1.0,11.331364641139656,"1.1308164311670578e-27","9.046531449336463e-28","1.0"
"Thal_L_to_AG_L",0.006651850755063706,-0.001329014586511929,0.032816233131124584,0.12084740160121173,0.02220216776045567,0.04440433552091134,0.9777978322395443,2.012792939380043,"0.057736793045406076","0.04968485109637106","1.0"
"PIns_L_to_AG_L",-0.021880787909686734,0.0015594349840490744,0.00758980923541378,0.032174071023855465,1.0,2.876315075904554e-90,1.438157537952277e-90,-22.38393195017602,"1.0","2.68196946266776e-89","2.1572363069284156e-89"
"PSTG_L_to_AG_L",-0.08608769048990461,-0.005788368719621257,0.045480572372575155,0.13127775269583533,1.0,7.274907525773993e-64,3.637453762886996e-64,-18.153065126262398,"1.0","3.5684972934483805e-63","3.060784263892716e-63"
"PSMG_L_to_AG_L",-0.17443070509683792,0.010692816904056938,0.05232642449220061,0.19519757336720175,1.0,1.7412723397122865e-136,8.706361698561432e-137,-29.268248154507454,"1.0","5.1491910617206186e-135","3.6044337432044327e-135"
"PSIG_L_to_AG_L",-0.041461051827078134,0.004798853298766329,0.03280684775879195,0.12308448354763062,1.0,7.95071769581958e-30,3.97535884790979e-30,-11.722313670146939,"1.0","1.7287800031876608e-29","1.4386351075477737e-29"
"STG_L_to_PrCu_L",0.0018276334192827662,-0.0013802026528439391,0.010830880416678606,0.032696802146321285,0.0016052151477477963,0.0032104302954955926,0.9983947848522522,2.953993685681883,"0.004454149270560239","0.003754571023545693","1.0"
"STG_L_pole_to_PrCu_L",0.004451401718958978,-0.0003917039282244279,0.0037290120393386086,0.009646018097592749,4.517227673436341e-45,9.034455346872682e-45,1.0,14.764428781573532,"3.412650103654462e-44","2.8080063915955635e-44","1.0"
"MTG_L_to_PrCu_L",0.020997557675653915,-0.0011746002181964024,0.020821890914569433,0.05303920625311092,2.3522619874826842e-32,4.7045239749653684e-32,1.0,12.209147580799431,"1.3376874489255925e-31","1.0844504040287653e-31","1.0"
"MTG_L_pole_to_PrCu_L",0.0028183204263704385,-0.00030636025900481465,0.0032772611484094055,0.008618389888663584,2.0364759057581562e-25,4.0729518115163125e-25,1.0,10.63934986697207,"9.84931103953127e-25","7.983911221438226e-25","1.0"
"ITG_L_to_PrCu_L",0.03355111600812207,0.0018911249696005907,0.014464569917987257,0.035463600533314446,2.579003408910617e-118,5.158006817821234e-118,1.0,26.558408394593318,"1.303268498373286e-116","9.204374235249961e-117","1.0"
"PHG_L_to_PrCu_L",0.0071752498514507735,-0.0031843614201554514,0.011644053707681313,0.04339948500206155,2.4445089632586834e-13,4.889017926517367e-13,0.9999999999997555,7.325772992956976,"9.166908612220063e-13","7.496494153993296e-13","1.0"
"ENT_L_to_PrCu_L",1.5779693990740004e-6,-2.124271222871587e-5,0.0002170710113572002,0.0008402665850533404,0.20467001702017928,0.40934003404035857,0.7953299829798207,0.8254027426713257,"0.49263597119973385","0.42968249009307413","1.0"
"FuG_L_to_PrCu_L",0.0019072914531089807,0.0017862773763259972,0.012557674640952565,0.04900899990944282,0.4696301098335011,0.9392602196670022,0.5303698901664988,0.0762188843047442,"1.0","0.9540081720857186","0.956548123770105"
"SOG_L_to_PrCu_L",-0.024399944906569188,-0.028948229416270538,0.08446032460244193,0.23912206500476904,0.2833992600293571,0.5667985200587142,0.7166007399706429,0.5729632399480425,"0.6681508750122657","0.5860504178429263","1.0"
"MOG_L_to_PrCu_L",0.11806848026581941,0.015989750826249254,0.06147711898421399,0.18685454887671735,2.4089123997652986e-54,4.817824799530597e-54,1.0,16.45960296902412,"2.287361774089068e-53","1.8816787424581766e-53","1.0"
"IOG_L_to_PrCu_L",-0.000209525524881567,-0.0019771358304843025,0.017959452028115327,0.059627665985921716,0.18442578024953132,0.36885156049906265,0.8155742197504687,0.8990333066255445,"0.44598290317351613","0.38875902761357417","1.0"
"Cu_L_to_PrCu_L",0.17577569728902723,-0.01707379056526796,0.06904035201157627,0.18504890673711288,4.0185089039074077e-150,8.037017807814815e-150,1.0,31.211415076582433,"6.931927859240278e-148","3.616658013516667e-148","1.0"
"LG_L_to_PrCu_L",0.05071293236481058,-0.003657548077020487,0.01910204469537106,0.056799257480361715,4.000055497671362e-130,8.000110995342725e-130,1.0,28.294414694776496,"2.9571838857784717e-128","2.0195402146779803e-128","1.0"
"rostral_ACC_L_to_PrCu_L",0.00958455276795375,0.0009740202650709305,0.0121076822005298,0.02902747264689995,2.6716724318703847e-18,5.3433448637407695e-18,1.0,8.812345091537772,"1.1426367632172926e-17","9.141094105738342e-18","1.0"
"subcallosal_ACC_L_to_PrCu_L",0.0009646303315277437,8.8739882899374e-6,0.0007043669533714532,0.0019349006293820643,2.482455973447825e-45,4.96491194689565e-45,1.0,14.813548397755556,"1.8892220092047787e-44","1.547796344890662e-44","1.0"
"subgenual_ACC_L_to_PrCu_L",0.0003322336406645426,-0.0001133511463634866,0.0006477148184459102,0.0026965347784944148,2.148903861096418e-7,4.297807722192836e-7,0.9999997851096138,5.089060782477849,"7.038340177958205e-7","5.769430599830849e-7","1.0"
"dorsal_ACC_L_to_PrCu_L",0.056336477118938924,-0.0014783109136731333,0.0571116284769383,0.17793032076271237,4.792196765453914e-22,9.584393530907828e-22,1.0,9.808220826305764,"2.224181009975247e-21","1.7650973851404984e-21","1.0"
"PCC_L_to_PrCu_L",0.043053164953992605,-0.05392745244880425,0.06766318354216727,0.25864019221400564,6.881431001355592e-29,1.3762862002711184e-28,1.0,11.445133372895857,"3.615371109849258e-28","2.9011328254187523e-28","1.0"
"Ins_L_to_PrCu_L",-0.0012843989330739664,4.6425645379968316e-5,0.0009015946330334957,0.0027878979346762827,1.0,8.241109622286947e-43,4.120554811143474e-43,-14.390698424054676,"1.0","2.430070786058972e-42","2.050372225737257e-42"
"Amyg_L_to_PrCu_L",0.003045495192044354,0.0002816621166765398,0.004473555070681645,0.013189670780527948,2.5046498858734424e-10,5.009299771746885e-10,0.999999999749535,6.281084508377191,"8.699035677446352e-10","7.200868421886147e-10","1.0"
"Hippo_L_to_PrCu_L",-0.0011166204930897206,-0.00011298594792082888,0.00197473313155374,0.007414145406243579,0.999979213278865,4.157344226995995e-5,2.0786721134979975e-5,-4.116883838346762,"1.0","5.2092630447225846e-5","4.417711781253444e-5"
"Caud_L_to_PrCu_L",-0.0037428474538460338,-0.00024188939978375942,0.001691899229652749,0.004988443641821141,1.0,2.0735043497842905e-82,1.0367521748921453e-82,-21.160964465708656,"1.0","1.6135917308471735e-81","1.3582765835612284e-81"
"Put_L_to_PrCu_L",0.030695374842167538,-0.00023169757142789182,0.018966064234572762,0.04526830750153932,3.3588558637856337e-75,6.717711727571267e-75,1.0,19.96663931868751,"5.267296695482017e-74","4.2395314866074764e-74","1.0"
"GP_L_to_PrCu_L",0.001648424893282084,-5.1367186240997645e-5,0.005980988590290365,0.019022106343450116,0.0034141118549422724,0.006828223709884545,0.9965858881450578,2.7107493527191635,"0.009323498073523092","0.007886071991547181","1.0"
"Thal_L_to_PrCu_L",-0.009142918312557468,-0.005783135594695908,0.04175011517550331,0.1988126360037308,0.6991406031005569,0.6017187937988863,0.30085939689944313,-0.5220966319544471,"1.0","0.6190645641966673","0.5511318155591569"
"PIns_L_to_PrCu_L",0.0024973205539979807,-0.0002101236815861602,0.0032263409775683907,0.00902317053214673,1.1455053983066128e-18,2.2910107966132256e-18,1.0,8.914143588031433,"4.919494137955785e-18","3.938864077233702e-18","1.0"
"PSTG_L_to_PrCu_L",-0.02123932805912074,0.0018558286096851757,0.017849515693734122,0.061219962325868765,1.0,1.865255798702137e-28,9.326278993510685e-29,-11.415282650976389,"1.0","3.907975205782818e-28","3.2500669219809965e-28"
"PSMG_L_to_PrCu_L",0.03072821539186953,0.003895546556929818,0.026251575932360535,0.06670029957234586,1.0919713321235157e-30,2.1839426642470315e-30,1.0,11.846325529277735,"5.948370151304415e-30","4.809320547863143e-30","1.0"
"PSIG_L_to_PrCu_L",0.012372424295046975,0.00021784208056804978,0.01119760626619363,0.03270456210034039,1.5310323264449152e-27,3.0620646528898304e-27,1.0,11.137686815737451,"7.655161632224576e-27","6.214190030864655e-27","1.0"
"STG_L_pole_to_STG_L",0.1332465962606238,0.003247805750419613,0.0689945819488777,0.19153642419976186,1.636056152098069e-76,3.272112304196138e-76,1.0,20.17738985338964,"2.6878065355896847e-75","2.1434406549639258e-75","1.0"
"MTG_L_to_STG_L",0.028162971810371692,-0.003121678019158844,0.03199001388584053,0.1226225742891626,7.918654660119369e-15,1.5837309320238738e-14,0.999999999999992,7.797369212631008,"3.092757574801338e-14","2.529570238649243e-14","1.0"
"MTG_L_pole_to_STG_L",0.07647075732299247,-0.0010635575833273835,0.05027591698234602,0.13496434168921115,8.15611415752916e-56,1.631222831505832e-55,1.0,16.718974175412114,"7.963752974568567e-55","6.594982932064594e-55","1.0"
"ITG_L_to_STG_L",0.05345414741719572,-0.008392870287705235,0.037323619670822435,0.1362373806881949,3.297378390741497e-41,6.594756781482994e-41,1.0,14.021700601058441,"2.230579499619248e-40","1.8299124045133774e-40","1.0"
"PHG_L_to_STG_L",0.02003380665124382,-0.0029794187326691595,0.013699335503305234,0.05329551564006504,3.2179229475613323e-38,6.435845895122665e-38,1.0,13.428692824441175,"2.0686647520037138e-37","1.677859068375808e-37","1.0"
"ENT_L_to_STG_L",-0.004490399301025828,-0.0004107448297547449,0.003958066574897508,0.012953288923055348,1.0,1.0231565804967574e-20,5.115782902483787e-21,-9.543322132021288,"1.0","1.8416818448941635e-20","1.5302992208296876e-20"
"FuG_L_to_STG_L",0.1339656424337771,0.0066378497033331004,0.05219887426006628,0.12920782970773553,1.2595962555849833e-135,2.5191925111699666e-135,1.0,29.09883689879264,"1.1851655677549617e-133","7.242678469613654e-134","1.0"
