,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
123,6.46141803949e-06,2.00368749689e-06,6.46141803949e-06,2.00368749689e-06,0.000543006071819,GCC_R,8455.78191489,8738.0,5103.25427049,123
74,2.04130404175e-05,1.94585769457e-06,-2.04130404175e-05,1.94585769457e-06,0.000546434616854,Hippo_L,8716.73404255,8265.0,5437.33510618,74
175,1.82612779482e-05,1.86953291596e-06,-1.82612779482e-05,1.86953291596e-06,0.00048495034174,LV_frontal_R,8715.12765957,8971.0,4863.68846054,175
8,5.63345123737e-06,1.74162678573e-06,5.63345123737e-06,-1.74162678573e-06,0.000453364633847,MFG_DPFC_L,9564.65957447,9702.5,5175.2350621,8
75,3.329889062e-05,1.54550221216e-06,3.329889062e-05,1.54550221216e-06,0.000546986328825,Hippo_R,9114.92021277,9316.0,5308.11512897,75
80,1.87553695753e-05,1.48405884158e-06,1.87553695753e-05,1.48405884158e-06,0.000480503131738,GP_L,8778.42553191,8765.0,5005.89640407,80
41,8.41174474662e-06,1.34747865466e-06,8.41174474662e-06,-1.34747865466e-06,0.000433152765294,MTG_R_pole,9700.86702128,10062.0,5000.30260131,41
122,2.42552728031e-05,1.1343436641e-06,2.42552728031e-05,1.1343436641e-06,0.000504887852988,GCC_L,8685.7712766,8905.0,5187.87557941,122
124,2.39497622811e-05,8.52350421211e-07,-2.39497622811e-05,-8.52350421211e-07,0.000563402944477,BCC_L,8473.69148936,8339.5,5503.92016682,124
136,2.35239066749e-05,6.84725496535e-07,2.35239066749e-05,-6.84725496535e-07,0.000504582588123,EC_L,9001.59042553,9369.5,5122.87589789,136
70,1.46188149074e-05,6.29276948463e-07,1.46188149074e-05,6.29276948463e-07,0.00047172518531,Ins_L,8536.43085106,8015.5,4888.37578653,70
126,5.50299578491e-05,5.46560214097e-07,-5.50299578491e-05,-5.46560214097e-07,0.000472554054442,SCC_L,9040.07446809,9080.5,5031.72441517,126
178,3.40799666948e-05,3.91553792732e-07,-3.40799666948e-05,-3.91553792732e-07,0.000520082527564,LV_occipital_R,8598.79787234,8558.0,5066.52515753,178
95,3.02632645633e-05,3.91553792732e-07,-3.02632645633e-05,-3.91553792732e-07,0.000510998885921,cerebellum_L,9090.75531915,9472.0,5197.75525135,95
166,2.92496984452e-05,3.42988030292e-07,-2.92496984452e-05,-3.42988030292e-07,0.000457060592071,Mammillary_L,9337.71808511,9942.5,5163.66657319,166
152,1.81754816553e-06,5.6235822123e-09,1.81754816553e-06,5.6235822123e-09,0.000535118161193,SFO_L,8929.65957447,8790.5,5426.1359004,152
39,1.72357684998e-05,0.0,1.72357684998e-05,0.0,0.000489367516978,MTG_R,8903.44148936,8717.5,4928.99378858,39
23,1.15467119511e-05,0.0,-1.15467119511e-05,0.0,0.000449935921023,PoCG_R,9107.25,8918.5,5013.54481616,23
30,2.22738072659e-06,0.0,2.22738072659e-06,0.0,0.000452318957794,AG_L,9118.78723404,8822.5,5066.2799424,30
180,2.4568560299e-05,0.0,2.4568560299e-05,0.0,0.000523493293053,III_and_IV_ventricle,8861.19148936,8435.0,5052.42681793,180
16,7.91765678e-07,0.0,-7.91765678e-07,0.0,0.000510615181135,LFOG_L,8907.05319149,8677.5,5405.22430276,16
49,1.03958297601e-05,0.0,1.03958297601e-05,0.0,0.000527332246387,FuG_R,8909.92021277,9292.5,5430.45004884,49
17,1.64176418318e-05,0.0,1.64176418318e-05,0.0,0.000479362583873,LFOG_R,8909.82446809,8541.0,5102.09331633,17
4,1.75956377801e-06,0.0,1.75956377801e-06,0.0,0.000453051161187,SFG_pole_L,8723.32978723,8372.5,4804.83417893,4
106,2.08758539338e-05,0.0,-2.08758539338e-05,0.0,0.000428709885671,PCT_L,9115.88829787,9036.5,4847.67186864,106
